,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
393,753715,35.2,34.4,35.8,48,32,502640,8946,0,132,1349,1597,3178,1050,2902,10390,1242,5210,9029,4861,7437,8996,77221,12200,25726,73584,29479,137024,53405,19815,7867,748210,85000,40443,44557,663210,331537,331673,286210,248051,38159,286210,239275,46935,751449,373215,378234
394,764730,29.7,29.2,30.2,48,33,435724,19918,296,305,1234,2272,6334,3990,7891,37183,7435,17924,31827,14722,16575,11096,110049,18182,16468,50875,20553,27932,10733,1074,856,758397,189612,84669,104943,568785,297384,271401,229843,193480,36363,229843,185074,44769,760515,383008,377507
395,723156,32.3,30.7,34.0,48,34,430781,14282,128,211,1194,2573,6080,3464,6458,23087,7871,12163,21065,13312,12901,9495,98864,24481,20437,60792,26902,45197,13860,3841,2123,702065,197152,90674,106478,504913,252376,252537,210523,156193,54330,210523,146697,63826,707104,345680,361424
396,822601,31.2,30.8,31.8,48,35,508479,15242,41,320,344,2447,4514,1865,4323,17688,5017,9657,19751,11393,14974,9991,121307,24653,30254,79809,31373,70787,24530,4262,3937,803556,164120,77473,86647,639436,324178,315258,264053,222243,41810,264053,214004,50049,810197,404009,406188
397,732975,36.5,35.5,37.4,48,36,475596,6450,0,40,167,393,2411,961,2196,9517,2769,6326,10592,11575,12015,8097,129977,27777,32366,81452,38080,62493,21998,4663,3281,710564,102338,43571,58767,608226,309894,298332,251784,197031,54753,251784,191163,60621,712920,354943,357977
398,757558,30.5,29.6,31.5,49,01,434936,3595,153,177,222,401,638,375,350,2375,423,1696,5064,3993,6465,8143,97521,14113,40543,81475,41522,84628,29219,6657,5188,749841,74655,33114,41541,675186,342854,332332,234783,196166,38617,234783,192426,42357,750002,375205,374797
399,749217,33.2,32.6,34.0,49,02,467152,3805,41,350,507,960,1577,1711,921,5736,587,2748,4246,6254,8707,8353,93903,13079,35634,78789,47358,95546,36552,11101,8687,734473,87574,41568,46006,646899,328813,318086,247006,197678,49328,247006,191306,55700,741020,373924,367096
400,751776,27.7,27.0,28.4,49,03,409080,2406,0,61,186,251,595,255,879,1638,379,944,2216,3252,4616,4964,56439,8971,30588,79681,40528,111085,41576,9373,8197,735980,82028,37717,44311,653952,330609,323343,219529,188482,31047,219529,184222,35307,748222,373758,374464
401,792666,31.0,30.5,31.4,49,04,472076,3241,343,111,763,450,811,781,864,4273,1101,2315,5877,5605,8319,9334,106440,14139,38341,87057,48785,89871,32902,6438,3915,783854,62645,27504,35141,721209,366783,354426,241829,209366,32463,241829,203412,38417,785523,394200,391323
402,624594,43.1,41.7,44.4,50,00,439563,2557,71,0,15,233,67,163,107,793,488,6593,4165,7689,7163,4466,112116,16651,22489,53383,40499,92871,46671,12297,8016,600077,71329,33218,38111,528748,262156,266592,254851,194290,60561,254851,184136,70715,618622,304849,313773
403,776836,39.3,38.3,40.5,51,01,523683,4681,152,294,313,987,997,466,446,2433,2107,3465,5151,8345,7945,6705,113308,18248,33495,76748,41069,120068,61566,7708,6986,757668,52011,22909,29102,705657,353278,352379,277101,223257,53844,277101,216845,60256,758801,374161,384640
404,745816,35.9,33.7,38.3,51,02,497550,2847,0,0,24,485,645,627,966,1671,1508,2538,5763,6662,7656,7170,94729,18856,35635,88260,50151,107636,48994,8927,5800,710695,68370,31240,37130,642325,315509,326816,271729,221465,50264,271729,216003,55726,690422,326943,363479
405,739169,34.4,32.5,36.4,51,03,484767,6029,135,79,115,99,143,178,363,2064,2021,4648,6258,10129,13079,8983,115224,22885,32498,91098,41844,77026,38868,6665,4336,710293,110556,51407,59149,599737,287256,312481,281520,225336,56184,281520,220564,60956,710965,334182,376783
406,764301,37.5,36.0,39.2,51,04,525171,6560,96,194,250,545,1081,269,1353,2757,3235,5655,9130,13643,12683,8139,115718,27943,36405,77314,43961,99120,43162,9323,6635,732007,116423,48112,68311,615584,301172,314412,286585,224699,61886,286585,220410,66175,737091,348676,388415
