,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
26,763987,33.9,32.7,35.0,06,06,505811,17051,82,128,195,536,2545,2119,1976,9381,3030,6523,6850,7604,11874,14439,109593,14874,29453,86035,42300,91108,32927,10102,5086,754980,162114,77342,84772,592866,291870,300996,271977,213308,58669,271977,204091,67886,759395,371388,388007
27,738468,38.5,37.2,40.0,06,07,501496,11956,103,0,297,271,972,1434,1344,3793,1075,4521,4110,4413,5403,11191,87250,12841,39003,93343,53111,106181,42063,11449,5372,729701,84475,38858,45617,645226,313387,331839,261127,202467,58660,261127,194012,67115,730943,352721,378222
28,723600,34.5,32.9,35.6,06,08,452986,8135,178,95,604,765,2006,923,1601,10086,2484,3409,9057,11485,15817,16342,117578,13609,34936,86951,39517,48196,22601,3376,3235,707499,144495,66674,77821,563004,281344,281660,232951,173101,59850,232951,164566,68385,705796,345227,360569
29,760794,35.1,34.1,35.9,06,09,483489,17356,0,240,336,1825,2450,1347,3100,17755,3145,5362,7942,10437,13671,16680,109273,15581,38337,80200,45907,63096,20397,6209,2843,748521,106015,46460,59555,642506,323341,319165,237359,184526,52833,237359,177629,59730,755082,372103,382979
30,744989,34.4,33.4,35.5,06,10,471688,12137,0,175,910,1524,3417,3342,4084,16218,1724,9538,8242,10858,13952,14266,117413,16926,38484,80926,39428,54502,16509,5562,1551,736647,93334,43313,50021,643313,317065,326248,235531,185686,49845,235531,177745,57786,738921,362040,376881
31,756337,39.7,38.7,40.8,06,11,523012,9767,0,201,187,1147,3197,1834,2591,10504,2142,6663,7254,4438,4878,8697,71595,10690,28756,79341,41084,140399,57696,18471,11480,749260,70408,31792,38616,678852,335346,343506,266301,215219,51082,266301,204936,61365,752037,367660,384377
32,756991,37.8,37.7,37.8,06,12,609759,16066,38,352,491,886,2703,1432,2547,9270,2056,7256,7422,3952,5011,11971,61606,7540,20983,58682,26827,214645,96025,32980,19018,746378,76687,37288,39399,669691,346112,323579,324880,264701,60179,324880,250599,74281,752924,386414,366510
33,755243,37.0,36.3,37.7,06,13,538034,17557,314,250,554,1342,2441,2419,2536,9582,2565,5719,6918,4272,6884,16843,66241,8991,21616,72735,34552,139750,71596,23105,19252,735872,114117,50932,63185,621755,307551,314204,287921,233089,54832,287921,217891,70030,751122,365033,386089
34,749041,39.6,38.2,41.0,06,14,539090,15264,318,114,335,2129,1444,2128,1367,8683,2048,3540,6580,4560,3672,10231,79564,10091,24074,68778,37937,158041,66003,17547,14642,740629,49667,22386,27281,690962,344107,346855,253163,213877,39286,253163,204080,49083,745552,368882,376670
35,769371,38.6,36.9,39.9,06,15,533101,10795,42,70,145,526,1771,900,1984,7234,1760,4090,6336,3965,4176,9220,92102,8940,23023,78289,37881,145648,70260,11648,12296,762748,54863,24589,30274,707885,352564,355321,250240,213457,36783,250240,207564,42676,765216,377661,387555
36,730141,30.2,29.2,30.9,06,16,427446,24109,467,522,1993,2825,7308,3474,3857,25437,3899,9195,18081,11772,15798,14563,89546,14082,28351,73339,26844,34442,12119,2970,2453,712224,200193,92630,107563,512031,258884,253147,210616,162670,47946,210616,155579,55037,716555,353645,362910
37,774647,36.0,35.7,36.5,06,17,545285,9636,0,29,238,495,1091,1375,790,5983,989,3015,6062,3822,4172,10687,76930,5829,14576,56903,31735,166589,115257,9212,19870,765364,49577,23992,25585,715787,367339,348448,257515,226085,31430,257515,221483,36032,770560,393522,377038
38,739012,40.2,38.6,42.1,06,18,521738,6159,200,681,0,559,1126,815,898,5042,382,3486,3846,2249,2757,7222,51920,7257,18251,59264,28619,156598,105922,25409,33076,724878,59056,27280,31776,665822,333126,332696,268446,221202,47244,268446,210991,57455,735319,366485,368834
39,762005,36.0,35.0,37.0,06,19,504580,20611,288,370,909,1275,3347,2354,4073,17785,4047,8391,8216,8043,7075,13627,86166,11725,24405,67340,35250,118685,44669,7820,8109,753191,84908,38835,46073,668283,337849,330434,226671,195149,31522,226671,188608,38063,759493,379621,379872
40,743764,34.6,33.6,35.7,06,20,470967,13174,0,107,620,5955,8331,2569,4187,30588,3416,12812,8173,7064,9351,10131,76647,12435,25439,70257,38499,77389,36273,10036,7514,714705,94518,44055,50463,620187,311074,309113,227623,184449,43174,227623,174815,52808,726493,359809,366684
41,726385,29.3,29.6,28.9,06,21,415361,19868,394,617,2976,5407,9702,6836,7851,33954,5452,12300,16253,14651,16286,17846,96747,15219,21594,55412,23337,22020,8402,1826,411,685766,186794,87867,98927,498972,259229,239743,187890,153579,34311,187890,148683,39207,686365,346490,339875
42,755289,32.9,32.1,33.7,06,22,466284,12876,243,237,1363,2139,2915,1702,1683,13167,2893,7406,9473,10597,11691,12630,94750,13216,33412,79292,42176,72310,25451,9668,4994,746661,145207,65212,79995,601454,301563,299891,241790,194234,47556,241790,186498,55292,750502,367914,382588
43,725299,33.8,33.0,34.8,06,23,460244,7038,0,270,394,667,2164,1340,709,10662,1877,4567,7434,10184,11930,17096,107352,19020,35080,84093,42506,64134,22696,5773,3258,704661,139731,61493,78238,564930,288605,276325,242551,183509,59042,242551,174193,68358,707848,351033,356815
44,738700,35.8,34.6,37.1,06,24,471690,8546,39,93,1234,2937,3847,1419,2174,17451,1673,4661,8867,4372,4988,7998,73973,10339,31814,80847,43883,97129,41574,11470,10362,704561,89214,41740,47474,615347,308245,307102,252574,196189,56385,252574,183552,69022,725381,360309,365072
45,728858,36.3,34.9,38.1,06,25,469945,9497,26,62,586,770,2420,918,1508,9469,2324,4315,7001,7564,13980,13052,89936,12565,31493,87540,44329,85760,33124,7241,4465,717433,90881,40719,50162,626552,314892,311660,225209,184107,41102,225209,175691,49518,722563,358608,363955
46,726532,37.4,35.8,39.2,06,26,481657,9690,74,90,619,1512,5742,2221,1483,24018,1812,3988,8527,5419,7696,10511,76988,7890,28931,77461,42642,99382,42972,13032,8957,714411,72893,31695,41198,641518,321623,319895,228178,182911,45267,228178,173888,54290,720117,354993,365124
47,724293,42.2,39.9,44.0,06,27,526950,23334,183,289,320,1098,3880,1500,3309,11278,2040,5163,8607,4932,4828,11628,96024,7151,19097,69294,39465,129785,55787,15807,12151,713080,94595,41508,53087,618485,306185,312300,243721,194850,48871,243721,186335,57386,719344,350195,369149
48,709613,39.7,39.2,40.3,06,28,548770,11698,36,4,556,1781,2062,2299,3048,10798,1645,6291,7446,6186,4543,9943,85069,6975,20440,69850,44448,168414,56140,20636,8462,703525,98481,45816,52665,605044,305343,299701,297443,242723,54720,297443,222532,74911,705611,352271,353340
49,726264,34.4,34.1,34.8,06,29,480316,21889,192,808,2005,4087,7620,5063,6287,26654,4846,6974,17429,10174,13123,15303,116302,12169,22025,58855,36091,69559,18006,3014,1841,720198,135920,59250,76670,584278,297118,287160,211315,178804,32511,211315,166843,44472,722648,357962,364686
50,759943,39.9,38.1,41.3,06,30,544636,10273,153,151,156,1419,3619,1365,2193,7496,1839,4672,6049,5454,6907,12619,85875,6816,24494,91093,40819,151465,50950,20090,8669,752004,89858,38300,51558,662146,332650,329496,275641,228720,46921,275641,213877,61764,756015,372577,383438
51,742627,32.3,30.8,33.5,06,31,459112,12695,260,252,515,1120,3438,1446,2022,12937,2683,3930,14073,10258,17210,13847,91337,15452,31492,77832,42279,66283,26619,7261,3871,722631,136016,62934,73082,586615,289442,297173,222147,182089,40058,222147,175375,46772,728839,354198,374641
52,719488,36.1,35.1,37.6,06,32,481632,21688,92,82,1149,2560,5019,3605,4330,21611,2405,6834,14650,6590,8554,19464,118247,11651,26583,70486,33133,73695,20338,4966,3900,707130,86908,39261,47647,620222,311792,308430,191240,161709,29531,191240,156703,34537,716010,354513,361497
53,712919,41.7,41.5,41.9,06,33,524077,3492,119,281,114,13,872,170,895,3276,444,1139,2445,1798,2407,5009,43029,4327,21104,59012,31481,196763,88934,39889,17064,694484,60195,25647,34548,634289,310969,323320,301954,245121,56833,301954,227268,74686,710096,343416,366680
54,758622,34.5,33.8,35.4,06,34,519291,24336,207,199,2420,5256,9460,5590,6347,39482,5081,8397,29675,9987,12437,13213,98456,10601,15407,61060,29793,95654,25450,6508,4275,742846,182697,83611,99086,560149,289454,270695,255952,211355,44597,255952,196286,59666,746897,374698,372199
55,744729,32.3,31.3,33.3,06,35,460314,16191,124,35,660,1900,5750,3019,3717,24100,3608,11096,19455,11859,15493,16724,113129,11679,27450,70826,29590,55605,14383,2402,1519,716835,114524,51659,62865,602311,302437,299874,191182,166737,24445,191182,161405,29777,723844,357052,366792
56,749841,41.1,40.6,41.8,06,36,517881,11866,49,176,788,2348,4721,1822,3292,18600,2581,8044,14860,9444,12468,15149,131158,15562,36830,83702,37636,64351,27663,10419,4352,738212,148084,66863,81221,590128,298224,291904,267899,177273,90626,267899,165893,102006,739834,365987,373847
57,729010,35.7,34.2,37.8,06,37,509036,16244,47,303,1216,1925,4927,3369,5499,24776,3461,5427,12661,5781,8316,10061,86584,6093,17746,76502,30294,110932,49645,17656,9571,714707,135372,62332,73040,579335,288678,290657,273317,220408,52909,273317,203064,70253,726822,357171,369651
58,708889,37.0,35.5,38.1,06,38,470664,15420,35,109,453,1032,2539,2043,2876,15090,3480,5661,8848,5878,10222,16609,110623,11252,26568,82821,38568,78309,25137,4734,2357,700376,82979,37418,45561,617397,306174,311223,204335,167190,37145,204335,161324,43011,705342,345310,360032
59,729909,38.2,37.1,39.3,06,39,500329,9739,0,195,478,475,1865,935,1365,10393,886,4492,6374,4656,6000,9192,84419,6868,24720,76057,42990,138477,49030,13274,7449,723938,69517,32650,36867,654421,325482,328939,225793,185237,40556,225793,177065,48728,727680,359842,367838
60,723345,30.6,29.9,31.4,06,40,429765,24892,558,470,3271,4957,11340,6022,7528,43688,6789,15638,23644,10642,15310,16104,101126,7379,14792,53022,20447,31452,8283,1554,857,719633,161190,72067,89123,558443,284146,274297,182996,159974,23022,182996,153847,29149,721458,357331,364127
61,760165,30.9,30.5,31.5,06,41,451297,16631,35,290,974,1750,3609,2228,2201,18527,3492,5151,14427,9628,14370,16991,110683,13461,29429,71100,33856,50108,22156,4688,5512,745347,121392,54801,66591,623955,310225,313730,194812,165500,29312,194812,159763,35049,756258,369268,386990
62,793044,35.2,33.9,36.8,06,42,513020,12293,53,12,211,2058,2222,1163,2488,8914,1525,3731,6669,7153,8235,13290,107284,14273,43432,101857,47668,85883,31754,7595,3257,786370,84589,40734,43855,701781,353982,347799,227143,187205,39938,227143,178843,48300,786736,394148,392588
63,724077,35.2,33.9,36.4,06,43,479623,16015,0,429,1011,1872,4263,3563,3824,16217,3475,6860,12587,6699,11088,17246,96734,10201,26122,78675,35459,86734,30076,6464,4009,716593,128488,55920,72568,588105,288783,299322,239020,192586,46434,239020,182353,56667,721498,346673,374825
64,723685,32.3,31.4,33.2,06,44,443139,19932,37,321,1006,4209,7838,3788,7399,35092,4010,12941,20213,9528,14308,18844,102648,11516,21719,64526,28576,37921,13026,2630,1111,716576,149755,67142,82613,566821,280068,286753,188841,159181,29660,188841,153354,35487,718663,348036,370627
65,774130,38.9,36.9,40.8,06,45,531901,5754,182,0,7,371,976,423,599,3094,1042,1248,2723,1598,3443,8601,59597,6748,21862,69412,46596,181876,78142,23152,14455,764816,67189,29951,37238,697627,350341,347286,276707,227843,48864,276707,217911,58796,772267,382271,389996
66,736031,32.1,32.1,32.1,06,46,462893,20103,0,486,1930,3845,7157,3118,4912,32381,3994,11107,21019,8871,11629,23854,96145,11611,22100,63990,28141,65970,15114,3517,1899,718983,115172,51007,64165,603811,301814,301997,185670,165176,20494,185670,160056,25614,726292,354891,371401
67,714311,36.4,34.9,37.7,06,47,481292,26837,146,146,455,894,2254,1305,2977,11789,2346,5395,6933,6699,6332,14090,83062,9554,27397,84514,34155,100086,37171,11089,5666,706763,109268,52258,57010,597495,298936,298559,239498,199055,40443,239498,190075,49423,711357,352899,358458
68,727100,41.8,40.6,43.3,06,48,525500,12436,305,50,739,363,1093,1057,2392,6428,2126,4563,4483,4807,4294,11527,70837,7618,30668,84494,41049,149881,56883,18429,8978,723541,67405,30186,37219,656136,326326,329810,265180,213672,51508,265180,200972,64208,725228,356936,368292
69,739697,37.2,35.3,39.2,06,49,492326,6061,36,0,663,553,1610,1166,2922,8618,825,3725,4738,3574,5807,7329,67830,6202,29277,84035,40635,137148,52518,16511,10543,718255,66646,31299,35347,651609,319600,332009,256731,207299,49432,256731,191504,65227,711483,343133,368350
70,751527,36.9,36.2,37.7,06,50,500105,8441,187,349,241,690,3903,1323,2022,11504,972,4550,6023,6143,9666,12680,102538,11925,37341,95899,42895,94410,31701,9171,5531,741949,92897,45242,47655,649052,325321,323731,238443,191463,46980,238443,180988,57455,742709,369571,373138
71,747202,32.5,30.9,34.4,06,51,469521,18300,52,403,1035,3721,5487,4859,4790,24439,3359,11013,26078,10920,16693,19074,98903,17569,28884,77060,30586,46855,14089,3375,1977,713879,147422,65370,82052,566457,285472,280985,201097,158637,42460,201097,150507,50590,713540,349679,363861
72,750537,36.6,35.3,38.6,06,52,525905,6240,97,200,0,99,612,149,693,1851,687,2287,1767,1434,1441,7225,54316,7721,23779,73034,40357,174580,81554,24066,21716,730091,68971,34012,34959,661120,331241,329879,281618,231453,50165,281618,222163,59455,726289,359085,367204
73,766812,35.3,34.4,36.5,06,53,530649,9077,139,111,565,1215,1707,859,1870,7488,1737,3871,6927,4889,8457,10984,83352,11682,31920,98691,44305,129790,50260,13264,7489,757199,85598,41709,43889,671601,335605,335996,268519,222461,46058,268519,211862,56657,753447,371077,382370
74,812843,35.0,34.6,35.5,08,01,578533,7630,0,0,170,329,2017,1230,2310,7502,2216,7182,9085,8016,8532,10911,82339,22436,23518,75160,32333,169278,72419,23113,10807,801609,104117,50905,53212,697492,351114,346378,339619,280669,58950,339619,270768,68851,807043,404591,402452
75,803470,37.7,36.1,39.3,08,02,543097,2033,45,0,0,0,205,240,197,1377,516,2010,2443,3472,3454,3107,74202,12289,26767,74025,42060,172763,85386,17749,18757,781747,79630,38052,41578,702117,360024,342093,311376,256788,54588,311376,245187,66189,798638,406937,391701
76,738119,40.2,38.7,41.5,08,03,506754,3698,184,294,87,82,891,894,530,3805,1567,6777,6250,9365,10341,7868,114546,26622,32388,84484,47906,96434,36978,8581,6182,723163,112425,50364,62061,610738,311580,299158,285496,213383,72113,285496,200738,84758,729876,365018,364858
77,795836,37.1,36.5,37.9,08,04,522548,5455,22,17,55,697,1261,684,1114,3921,1204,4876,6533,5797,7236,7774,103878,25628,36667,80557,46619,119608,47703,9625,5617,776067,74278,31943,42335,701789,355742,346047,290279,239841,50438,290279,229329,60950,782308,390516,391792
78,786939,35.5,34.3,37.0,08,05,518201,2826,91,85,43,248,828,104,294,2046,930,2158,3148,5013,5541,6537,87431,23178,35825,89544,60586,117285,58955,8995,6510,754918,87601,40807,46794,667317,336042,331275,295699,242445,53254,295699,235494,60205,742293,363633,378660
79,813566,36.6,35.6,37.7,08,06,540632,4159,191,0,403,522,556,743,582,4982,1345,2092,6204,5773,6896,5657,100413,16982,27722,80134,49118,142503,63734,12300,7621,804590,64556,26099,38457,740034,370479,369555,289521,248847,40674,289521,242769,46752,805288,396631,408657
80,789772,35.9,34.9,36.9,08,07,535741,6843,133,147,96,585,1051,1573,1318,9522,1804,4585,9816,6169,11523,9916,110280,21920,35358,85217,43907,116402,44537,7416,5623,778233,76129,34918,41211,702104,353495,348609,297002,249254,47748,297002,241592,55410,782314,390429,391885
81,712461,40.2,38.3,41.6,09,01,491367,4934,275,85,342,541,1634,1682,1710,2448,1431,6933,6717,7705,7336,8185,121186,17487,23863,56144,40023,105070,55653,13399,6584,698659,74640,31678,42962,624019,303101,320918,277215,214767,62448,277215,207391,69824,705206,337580,367626
82,705034,41.9,40.2,43.8,09,02,485553,3305,0,0,35,45,83,87,637,892,878,4722,4563,7495,5965,5688,122957,20506,29230,64008,43923,98611,53473,10855,7595,665829,55595,25548,30047,610234,304008,306226,268254,212873,55381,268254,205119,63135,682520,335666,346854
83,717162,39.5,37.1,41.9,09,03,496087,4339,250,42,70,350,563,673,1532,3444,1400,5347,4046,7021,8208,6580,138454,15444,24204,60507,34261,93200,57709,17985,10458,691014,76859,33533,43326,614155,303230,310925,274137,219275,54862,274137,211218,62919,710546,345600,364946
84,732469,39.8,38.1,40.9,09,04,493269,6340,98,36,128,640,1599,1380,2121,5984,2505,6262,4584,6453,7186,6248,90627,10159,15880,54527,29566,135613,76158,20490,8685,719888,62658,28305,34353,657230,321724,335506,258126,214545,43581,258126,203479,54647,726882,352847,374035
85,709326,43.2,41.3,45.0,09,05,501461,5098,121,135,355,592,1071,1297,1666,4368,2309,5699,6402,10263,5293,7484,124110,17846,27139,59648,38515,108875,54495,12136,6544,694124,69376,31890,37486,624748,305937,318811,279537,215892,63645,279537,205444,74093,700000,340721,359279
86,952065,40.6,39.1,42.1,10,00,662547,6040,143,0,573,189,864,1080,574,2838,2802,7244,8817,13506,14498,11426,188694,23780,44010,78172,52228,121717,58672,12881,11799,926864,108211,46076,62135,818653,400489,418164,351085,266440,84645,351085,259072,92013,937935,450203,487732
87,681170,33.9,33.8,34.0,11,98,480158,5188,71,0,146,958,869,1100,986,2927,2251,2601,6063,6547,10766,5270,73974,11274,16770,45436,14086,115097,98988,38236,20554,647654,120308,53059,67249,527346,253302,274044,281241,226035,55206,281241,220665,60576,670985,315799,355186
88,762506,38.7,37.0,40.5,12,01,522481,3668,552,57,0,0,549,214,534,1390,1242,5251,6047,10931,12355,7700,110809,27352,37829,88257,62010,92389,41278,7867,4200,729001,87159,39196,47963,641842,320637,321205,287528,216966,70562,287528,207328,80200,719311,347826,371485
89,720418,43.2,41.2,44.8,12,02,511849,5129,0,0,421,140,694,1089,903,1962,3047,8547,10571,13843,14733,9606,137569,35789,36530,70208,41345,70145,33223,10321,6034,674677,100177,46264,53913,574500,285235,289265,265352,184727,80625,265352,175326,90026,679958,332593,347365
90,732088,37.8,35.9,39.2,12,03,484134,4634,631,258,137,330,278,370,297,2162,2891,5039,8224,12203,12738,7078,126221,30427,31487,65323,48225,71249,32372,11672,9888,695926,129859,62803,67056,566067,278323,287744,261185,189094,72091,261185,181478,79707,707558,345712,361846
91,778620,39.8,38.3,40.9,12,04,552993,3089,90,0,495,99,367,247,385,833,886,3797,4559,7157,7164,6606,105635,21606,38129,77063,57896,142234,52711,14220,7725,760333,65561,27120,38441,694772,344173,350599,297592,235910,61682,297592,227468,70124,760512,368022,392490
92,728346,33.0,31.8,34.6,12,05,459280,5471,120,80,89,112,253,715,1056,2765,3714,6238,9283,14673,18492,9657,118328,26830,33976,65316,43780,67873,23005,4307,3147,697026,155237,68381,86856,541789,262086,279703,265998,201732,64266,265998,196163,69835,700854,330827,370027
93,765005,47.5,45.5,49.4,12,06,565719,4367,125,133,129,422,999,757,897,2642,1208,3924,5585,12764,11807,13006,150499,27107,49756,81938,62484,85887,35993,7418,5872,753357,102844,46258,56586,650513,319140,331373,302322,193777,108545,302322,185700,116622,759210,368164,391046
94,762326,36.5,35.1,38.2,12,07,517490,3934,256,127,98,573,403,311,1788,2406,1373,3373,6456,5354,7826,7951,92880,16421,26249,81650,62690,127196,46086,14390,7699,738977,110117,48835,61282,628860,313463,315397,279904,223532,56372,279904,215237,64667,757840,370277,387563
95,744430,48.1,46.8,49.5,12,08,552204,7147,255,0,275,1022,435,469,473,1679,1923,4371,4603,10040,8104,10512,128161,28889,42074,77542,64195,100480,46908,6184,6463,737320,105474,49416,56058,631846,308233,323613,286448,184334,102114,286448,176246,110202,738699,358410,380289
96,832753,37.4,36.1,38.5,12,09,557655,12498,77,594,409,971,3337,1791,670,4548,3482,5304,11420,11294,10760,11203,142944,25746,37172,78752,57230,95690,31418,6883,3462,822797,132041,55272,76769,690756,342532,348224,268104,201939,66165,268104,197254,70850,824493,398452,426041
97,791447,35.5,34.9,36.0,12,10,539334,11174,88,313,338,1155,1754,2066,1269,6002,2635,5914,5931,11180,12556,13730,124731,18199,26506,75146,55089,110363,40464,7780,4951,782900,125555,57786,67769,657345,323747,333598,283982,237365,46617,283982,232396,51586,785159,382521,402638
98,758331,55.6,53.8,57.0,12,11,598985,8292,131,473,84,108,78,358,425,2608,3120,6763,11269,11445,11777,13060,176141,37447,50262,90120,51876,75644,34956,9140,3408,737821,104632,47781,56851,633189,301326,331863,316699,160060,156639,316699,150993,165706,742474,351897,390577
99,760472,46.6,45.3,48.4,12,12,564720,5106,0,86,69,75,766,709,1281,4150,1212,5258,7094,8054,10126,12703,155518,25661,38931,77124,58933,101848,36108,9275,4633,750136,89080,39509,49571,661056,323640,337416,301046,196426,104620,301046,188377,112669,753123,363595,389528
100,728996,46.5,45.3,47.6,12,13,553105,7589,207,97,163,0,1143,224,1121,1274,1654,4877,5138,9092,11047,12973,129093,25835,44203,88308,55375,99671,36516,10892,6613,716796,103294,46328,56966,613502,298002,315500,306391,214328,92063,306391,205835,100556,720275,346122,374153
101,769968,36.2,35.3,36.9,12,14,519979,7203,0,183,314,288,1741,1310,1300,5998,2109,4174,9724,8044,8075,9647,118442,19879,24117,68808,45295,114065,48229,13573,7461,755971,130922,59586,71336,625049,305531,319518,299832,241452,58380,299832,233505,66327,765318,368419,396899
102,762822,38.4,37.3,39.3,12,15,524599,7828,279,180,183,904,224,717,863,4986,1631,6987,7948,9193,12389,10997,144186,26812,36717,70975,45495,88857,32893,8253,5102,749065,100252,44599,55653,648813,325683,323130,266358,205526,60832,266358,199465,66893,755286,372607,382679
103,803454,47.0,45.1,49.0,12,16,593246,8724,0,236,256,59,1015,967,1191,4575,1670,3789,5916,10422,11117,11351,149244,23958,43894,80019,52602,111446,49419,11826,9550,793660,91797,39795,52002,701863,342756,359107,310488,203538,106950,310488,194491,115997,796243,383755,412488
104,768138,51.3,49.8,53.0,12,17,585592,7438,0,124,93,820,1377,1312,1284,7297,2334,7951,9512,15949,11285,8028,189995,28798,41788,77036,48666,80130,32712,7077,4586,748898,107905,51582,56323,640993,314667,326326,289543,164997,124546,289543,155977,133566,752447,367024,385423
105,754652,47.1,45.5,48.5,12,18,556229,7915,0,0,593,41,1613,762,1131,4076,847,5821,7146,8280,9739,9898,126346,24723,36619,83061,58007,108032,41565,14617,5397,746739,97874,42983,54891,648865,320781,328084,291685,199121,92564,291685,187583,104102,748031,364266,383765
106,799332,50.2,48.6,51.7,12,19,606630,8878,145,314,614,1202,1771,963,2179,5996,2845,6042,8052,10654,10028,11776,149052,22801,38194,77741,51323,121545,49496,16422,8597,788772,98049,42228,55821,690723,340919,349804,303841,187599,116242,303841,178555,125286,792710,384582,408128
107,794621,36.4,35.2,37.9,12,20,529350,15173,316,95,125,1136,989,2265,3848,10806,3246,7885,13042,14324,15728,14852,146853,21751,31123,73877,47647,69583,25426,5314,3946,778627,154525,68611,85914,624102,306459,317643,242271,198952,43319,242271,192252,50019,780936,376246,404690
108,758201,45.4,43.6,47.1,12,21,558261,13043,389,0,519,961,3128,1809,1878,7419,2172,5553,6249,8400,10454,12210,122676,15232,31912,72932,50008,119505,48872,15019,7921,753002,83569,36233,47336,669433,324475,344958,282081,192589,89492,282081,181564,100517,755129,361432,393697
109,737019,45.2,44.3,45.8,12,22,549033,7049,170,0,462,896,1258,1011,1498,3958,1791,4107,4949,6076,8295,9081,116017,17399,30104,75290,51679,126858,49717,22026,9342,728966,79585,32850,46735,649381,326258,323123,302908,225949,76959,302908,215614,87294,732661,360987,371674
110,749377,41.6,39.6,43.3,12,23,537363,7285,27,0,121,410,828,1215,1686,3610,653,3031,3172,6348,5007,8409,107677,12228,37454,76288,54602,127455,53460,19694,6703,745818,80152,35898,44254,665666,321531,344135,274257,212901,61356,274257,204253,70004,747321,357524,389797
111,749624,37.1,36.0,38.3,12,24,515286,15951,181,67,936,1578,3443,3754,2913,12547,5722,10127,15770,11822,13713,15599,147881,18449,21576,70227,43255,66140,21957,8388,3290,737116,174116,77557,96559,563000,280073,282927,241659,186567,55092,241659,176455,65204,740838,358943,381895
112,763628,42.5,40.7,44.2,12,25,552238,13843,302,54,765,2722,6092,4217,6813,20888,5409,10627,17824,7709,9623,19779,148011,14032,23871,61207,52874,81860,29609,10237,3870,755131,122388,52735,69653,632743,313620,319123,241411,182785,58626,241411,172820,68591,756360,367040,389320
113,788816,38.4,36.6,40.0,12,26,540331,12916,271,60,512,1268,3466,1834,2542,12816,4589,5277,9448,5390,8590,19624,136422,16964,27197,66193,57848,102471,29395,10422,4816,774335,131152,62105,69047,643183,310176,333007,224504,187220,37284,224504,179701,44803,778717,374103,404614
114,747049,41.9,40.1,43.9,12,27,555585,8471,38,384,1001,1329,3631,1703,3460,20234,4337,6688,12801,6723,5579,11211,128033,10034,19534,53543,48692,117291,57476,24106,9286,738175,110196,47643,62553,627979,318684,309295,280067,224916,55151,280067,210252,69815,743016,368248,374768
115,734172,35.8,34.1,37.4,13,01,482609,4175,0,329,55,54,633,881,212,2237,3543,5322,6927,14237,14280,8041,116520,26137,35771,79483,43111,78181,29086,8470,4924,706447,118125,50818,67307,588322,290901,297421,267317,206195,61122,267317,198530,68787,705201,335761,369440
116,672244,36.1,34.3,37.8,13,02,439495,6224,0,0,18,389,1597,527,1056,3141,3590,6444,11185,16120,18628,9868,121208,27558,26260,72529,35651,46899,20220,5829,4554,634768,168615,70491,98124,466153,227042,239111,244541,172555,71986,244541,165163,79378,638458,296854,341604
117,729810,38.3,36.7,39.6,13,03,486651,7446,225,0,53,148,297,93,289,3119,2315,5823,8393,15753,13539,10670,119237,29148,31847,72079,37366,81139,31568,9511,6593,715062,93130,38675,54455,621932,303053,318879,263782,205442,58340,263782,200765,63017,721380,344797,376583
118,752273,35.3,33.6,36.6,13,04,491496,10606,211,41,0,624,935,696,1522,6444,2808,3896,5780,10713,10909,9220,115372,17014,23064,80077,44874,92663,38359,7961,7707,743611,132229,55385,76844,611382,293450,317932,264468,220699,43769,264468,214914,49554,745926,348821,397105
119,747809,33.8,33.3,34.4,13,05,503168,5799,98,320,219,1018,111,904,745,2391,1674,3005,8832,11246,14038,5948,96726,15918,18674,74439,29613,119002,60466,21098,10884,708674,155680,65931,89749,552994,276753,276241,298413,234517,63896,298413,226221,72192,737042,355276,381766
120,756004,38.4,37.5,38.9,13,06,519292,4417,69,0,76,401,1937,218,1009,6883,1464,2965,5081,3613,2843,4470,58802,7774,16712,56134,29806,189570,93649,21529,9870,753060,63935,29601,34334,689125,340312,348813,283001,248162,34839,283001,239276,43725,754073,370273,383800
121,789864,36.5,35.4,37.4,13,07,505813,10806,50,84,122,1155,1646,665,3032,7030,2809,5394,5354,5759,6902,9541,86933,15588,24154,73658,44607,130527,52003,10184,7810,783144,77355,33737,43618,705789,350217,355572,256978,226163,30815,256978,217850,39128,784905,384522,400383
122,710108,36.7,35.5,37.8,13,08,467468,7503,23,0,52,724,1714,1074,595,3980,2543,6209,11126,12844,15480,8018,127652,30518,25203,70262,40116,58035,33255,6935,3607,685455,142871,59638,83233,542584,271082,271502,256041,187427,68614,256041,181729,74312,687694,330414,357280
123,736075,40.8,38.9,42.1,13,09,497075,8974,266,0,377,579,2183,1537,2248,7652,3208,8221,15197,17428,16757,11010,130159,33143,31334,64008,35539,67430,26808,8538,4479,723873,102367,49091,53276,621506,309754,311752,254999,181512,73487,254999,174229,80770,729546,361595,367951
